"Grantor","Grantee","Zip Code","Fiscal Year","Amount","Description","Category","Fiscal Period","Date"
"Maryland Department of Education/OTHER INSTITUTIONS","CHESAPEAKE BAY FOUNDATION INC","21403","2014","416,945","STATE AIDED INSTITUTIONS","Grant","1","2014 Jun 30 12:00:00 AM"
"Maryland State Department of Education/INNOVATIVE PROGRAMS","FAMILY LEAGUE OF BALTIMORE CITY INC","21218","2017","595,143","Healthy Families","Grant","1","2017 Jun 30 12:00:00 AM"
"Governor's Office of Crime Control and Prevention","The Cricket Center, Inc.","21811","2018","6,100","Children's Justice Act Committee","Grant","1","2018 Jun 30 12:00:00 AM"
"Department of Business and Economic Development - Maryland State Arts Council","Adventure Theatre Inc","20812","2015","95,775","MD State Arts Council Grants for Organizations (Operating support)","Grant","1","2015 Jun 30 12:00:00 AM"
"HEAD START","ASSOCIATED CATHOLIC CHARITIES INC","21093","2018","160,843","Head Start Program","Grant","1","2018 Jun 30 12:00:00 AM"
"Department Of Business and Economic Development/Office of Business Development","OFF OF THE STATES WASH REP ARC","20009","2014","95,250","Grant for the State assessment for the administrative expenses of the Appalachian Regional Commission and the Office of the States’ Washington representative","Grant","1","2014 Jun 30 12:00:00 AM"
"Prevention and Health Promotion Administration","Johns Hopkins University","21205","2018","376,794","Medical Genetics, Systems Development, Hematology","Grant","1","2018 Jun 30 12:00:00 AM"
"Department of Commerce/MD State Arts Council","KENT COUNTY ARTS COUNCIL INC","21620","2016","101,185","MD State Arts Council Community Arts Development Grant","Grant","1","2016 Jun 30 12:00:00 AM"
"HEAD START","Y OF CENTRAL MARYLAND","21204","2018","320,207.99","Head Start Program","Grant","1","2018 Jun 30 12:00:00 AM"
"Maryland Energy Administration/Commercial Renewable Grants","Mid-Sempno","20814-3607","2011","50,000","Solar PV","Grant","1","2011 Jun 30 12:00:00 AM"
"Department of Housing and Community Development/Housing Counseling - State Funds","Gwynn Oaks Northwest HSG  Resource Ctr","21216","2012","82,500","foreclosure/housing counseling activities","Grant","1","2012 Jun 30 12:00:00 AM"
"Maryland Energy Administration/LMI Community Grants","United Communities Against Poverty FY17","207431018","2017","400,000","Energy efficiency measures for the low and moderate income sector","Grant","1","2017 Jun 30 12:00:00 AM"
"Department of Housing and Community Development/Foreclosure Mediation","Unity Economic Development","20746","2017","102,343","Foreclosure Mediation","Grant","1","2017 Jun 30 12:00:00 AM"
"Department of Agriculture/Marketing Spay and Neuter Program","CHESAPEAKE FELINE ASSOCIATION","21901","2017","59,229.85","Grants To Non-Gov Entities","Grant","1","2017 Jun 30 12:00:00 AM"
"Judiciary/Department of Family Administration","Pro Bono Resource Center of Maryland","21201","2013","105,670","Legal Services for persons with Foreclosure cases","Grant","1","2013 Jun 30 12:00:00 AM"
"Maryland Department of Education/FOOD SERVICES PROGRAM","MARYLAND RURAL DEVELOPMENT CORP","21403","2014","145,425.25","CASH FOR COMMODITIES- CHILD CARE","Grant","1","2014 Jun 30 12:00:00 AM"
"Maryland Health Benefits Exchange/Connector Entity Program","Calvert Healthcare Solutions Inc.","20657","2016","612,998","Connector Entity","Grant","1","2016 Jun 30 12:00:00 AM"
"Department Of Business and Economic Development/Maryland State Arts Council","Glen Echo Park Partnership for Arts and Culture, Inc.","20812","2013","60,000","Grantee will receive funding support to produce and present a variety of arts activities open to the public including performances, exhibitions, workshops, and programs for children and general audiences as described in the grant application.","Grant","1","2013 Jun 30 12:00:00 AM"
"Department Of Business and Economic Development/MD Small Business Development Financing Authority (MSBDFA)","KTBG LLC & FRANCHISE VALUE SOLUTIONS","40507","2013","61,790.45","MSBDFA-equity Participation Invest. Prog. - Term Loan","L","1","2013 Jun 30 12:00:00 AM"
"Executive Department - Boards, Commissions and Offices/Governor's Office of Crime Control and Prevention","Domestic Violence Sexual Assault Resource Center (Dove Center)","21550","2016","4,197.78","Byrne Justice Assistance Grant","Grant","1","2016 Jun 30 12:00:00 AM"
"Maryland State Department of Education/CHILDREN AT RISK","REFRESHING SPRING LEARNING CENTER LLC OUTER LIMITS","20737","2017","359,490","21st Century Community Learning Centers","Grant","1","2017 Jun 30 12:00:00 AM"
"Maryland Higher Education Commission/Aid to Non Public Institutions","Hood College","21701-8575","2010","1,552,174","Sellinger Formula","Grant","1","2010 Jun 30 12:00:00 AM"
"FACILITIES AND CAPITAL EQUIPMENT","Maersk Line A/S","28273-0000","2018","231,750","Infrastructure Recovery and Implementation Plan (IRIP) Grant","Grant","1","2018 Jun 30 12:00:00 AM"
"Boards and Commissions/Governor's Office of Crime Control and Prevention","Belair-Edison Neighborhoods, Inc.","21213-1233","2011","98,420","Main Street Crime Reduction - JRA","Grant","1","2011 Jun 30 12:00:00 AM"
"Judiciary/Department of Family Administration","Frederick County Mental Health Association CASA (Court Appointed Special Advocates) of Frederick & Carroll)","21701","2013","97,351","Advocacy for children in Foster Care","Grant","1","2013 Jun 30 12:00:00 AM"
"Department of Natural Resources/Chesapeake & Atlantic Coastal Bays Trust Fund","Columbia Association","21044-3410","2012","49,947.67","Natural Filters program for residential rain garden/community bioretention in Columbia, MD","Grant","1","2012 Jun 30 12:00:00 AM"
"Department of Agriculture - Conservation Grants","Black Gold Farms","21659","2015","66,974.5","COVER CROP","Grant","1","2015 Jun 30 12:00:00 AM"
"Maryland Department of Education/FOOD SERVICES PROGRAM","INHERITANCE CHILD CARE CENTER LLC","21228","2014","66,020.6","CASH FOR COMMODITIES- CHILD CARE","Grant","1","2014 Jun 30 12:00:00 AM"
"Maryland Department of Education/Food Services Program","TEAM 2 INC DBA PHOENIX ADULT MEDICAL CENTER","21215","2012","149,456.98","FOOD SERVICE - CHILD CARE","Grant","1","2012 Jun 30 12:00:00 AM"
"Department of Agriculture/CONSERVATION GRANTS","ROY G. BROOKS","21601","2012","86,254","COVER CROP","Grant","1","2012 Jun 30 12:00:00 AM"
"Department of Transportation/NEW FREEDOM","CENTRAL MD REGIONAL TRANSIT","20707-4859","2016","362,880","Locally-Operated Transit Systems-CAPITAL","Grant","1","2016 Jun 30 12:00:00 AM"
"Maryland Department of Education/FOOD SERVICES PROGRAM","AAA MANAGEMENT LLC","21216","2014","115,436.26","CASH FOR COMMODITIES- CHILD CARE","Grant","1","2014 Jun 30 12:00:00 AM"
"Department Of Business and Economic Development/Office of Business Development","GREATER BALTIMORE TECHNOLOGY COUNCIL","21224","2012","65,000","Grantee continually updates and develops programs, and cultivates outside collaborations to meet the ongoing needs of the technology community in Maryland","Grant","1","2012 Jun 30 12:00:00 AM"
"Department of Natural Resources/Chesapeake & Atlantic Coastal Bays Trust Fund","Parks and People Foundation","21211","2017","3,707,269","Payments made for the implementation of nonpoint source pollution reduction best management practices, including stormwater management, stream restoration, wetland creation, and tree planting activities.","Grant","1","2017 Jun 30 12:00:00 AM"
"Department of Agriculture/CONSERVATION GRANTS","PEACE & PLENTY FARMS LLC","21791","2016","74,473.63","OTHER GRANTS, SUBS & CONTRIBUTION","Grant","1","2016 Jun 30 12:00:00 AM"
"Department of Agriculture/Maryland Agricultural Cost Share (Capital - Bonds)","STAMBAUGH, BYRON","21158","2009","4,038.48","Install Best Mgmt Practice (BMP) on Farm","Grant","1","2009 Jun 30 12:00:00 AM"
"Department of Housing and Community Development/Rental House","Rainier Manor Phase II","21401","2016","1,667,225","Rental Housing","Grant","1","2016 Jun 30 12:00:00 AM"
"Maryland Department of Education/Innovative Programs","GARRETT CO PARTNERSHIP FOR CHILDREN & FAMILIES INC","21550-0059","2012","80,338.07","HEALTHY FAMILIES","Grant","1","2012 Jun 30 12:00:00 AM"
"Department of Aging/Congregate Housing","Cedar Lane Senior Community III, Inc. - Cedar Lane Apts. I, II, III","20650","2014","80,500","Congregate Housing Services","Grant","1","2014 Jun 30 12:00:00 AM"
"Department of Aging/State Nutrition","The Washington County Commission on Aging, Inc.","21740","2014","75,637","Meals for Seniors","Grant","1","2014 Jun 30 12:00:00 AM"
"Boards and Commissions - Governor's Office of Crime Control and Prevention","CASA Citizens Assisting and Sheltering the Abused, Inc.","21740","2015","147,815","VOCA Victim Assistance Formula Grant Program","Grant","1","2015 Jun 30 12:00:00 AM"
"Department of Commerce/MD State Arts Council","ADVENTURE THEATRE INC","20812","2016","109,225","MD State Arts Council Grants for Organizations (Operating support)","Grant","1","2016 Jun 30 12:00:00 AM"
"Department of Housing and Community Development/Housing Counseling - State Funds","Kairos Development Corp.","20748","2012","70,000","foreclosure/housing counseling activities","Grant","1","2012 Jun 30 12:00:00 AM"
"Department of Health and Mental Hygiene/Maryland Community Health Resources Commission","Associated Catholic Charities Inc.","21201","2012","66,000","DDA/Infrastructure Services","Grant","1","2012 Jun 30 12:00:00 AM"
"Department of Aging/NORC Grant (Balt. Holocaust Survivors)","Jewish Community Services","21215","2016","350,000","Naturally Occurring Retirement Communities","Grant","1","2016 Jun 30 12:00:00 AM"
"State Department of Education/Other Institutions","Maryland Historical Society","21201","2009","122,074","Funding for Educational Organizations","Grant","1","2009 Jun 30 12:00:00 AM"
"Maryland Department of Education/Food Services Program","SANDIS LEARNING CENTER INC","21216","2012","4,118.06","CASH FOR COMMOD - CHILD CARE","Grant","1","2012 Jun 30 12:00:00 AM"
"Military Department/Maryland Emergency Management Agency (MEMA)","HOLY CROSS HOSPITAL","20705","2017","96,110.43","FEMA DR4261 Public Assistance","Grant","1","2017 Jun 30 12:00:00 AM"
"Executive Department - Boards, Commissions and Offices/Governor's Office of Crime Control and Prevention","Associated Catholic Charities, Archdiocese of Baltimore","21201","2016","34,998","Violence Against Women Act","Grant","1","2016 Jun 30 12:00:00 AM"
"Department of Housing and Community Development/Maryland Affordable Housing Trust (MAHT)","Dayspring Programs, Inc.","21211","2009","75,000","construct 18 transitional housing units","Grant","1","2009 Jun 30 12:00:00 AM"
"Maryland State Department of Education - Innovative Programs","Somerset County Local Management Board","21871","2015","299,562","HEALTHY FAMILIES","Grant","1","2015 Jun 30 12:00:00 AM"
"MDP- Historic Preservation Grant Program","Historic Easton, Incorporated","21601","2018","73,590","FY2016 & FY2017 AAHPP - Interior and exterior rehabilitation of Asbury M.E. Church.","Grant","1","2018 Jun 30 12:00:00 AM"
"Maryland Department of Education/FOOD SERVICES PROGRAM","SMART STEPS CHILDRENS CENTERS","21215","2014","83,412.49","CASH FOR COMMODITIES- CHILD CARE","Grant","1","2014 Jun 30 12:00:00 AM"
"Department of Health and Mental Hygiene - Prevention and Health Promotion Administration","Dimensions Healthcare Systems","20785","2015","15,000,000","Prince George's County Hospital","Grant","1","2015 Jun 30 12:00:00 AM"
"Department Of Business and Economic Development/MD Small Business Development Financing Authority (MSBDFA)","Main Street Technologies","21230","2014","400,000","MSBDFA-equity Participation Invest. Prog. -50% Invest MD EPIP Funds, 50% MSBDFA Funds","Loan","1","2014 Jun 30 12:00:00 AM"
"Military Department/MARYLAND MILITARY DEPT, MEMA","S M E C O Total","20650","2012","1,416,543.82","DISASTER REIMBURSEMENT","Grant","1","2012 Jun 30 12:00:00 AM"
"Department of Housing and Community Development - OAG Counseling","Maryland Volunteer Lawyer","21201","2015","266,331","OAG","Grant","1","2015 Jun 30 12:00:00 AM"
"Marketing Spay and Neuter Program","MARYLAND SPCA","21211","2018","62,060","GRANTS TO NON-GOV ENTITIES","Grant","1","2018 Jun 30 12:00:00 AM"
"Maryland Higher Education Commission/Aid to Non Public Institutions","Johns Hopkins University","21218","2010","16,240,128","Sellinger Formula","Grant","1","2010 Jun 30 12:00:00 AM"
"Maryland Department of Education/Food Services Program","ANDREWS AIR FORCE BASE CHILD & YOUTH PGRM","20762","2012","25,902.58","CASH FOR COMMOD - CHILD CARE","Grant","1","2012 Jun 30 12:00:00 AM"
"Maryland Department of Education/Other Institutions","OLNEY THEATRE CENTER","20832","2012","94,023","OLNEY THEATER","Grant","1","2012 Jun 30 12:00:00 AM"
"Boards and Commissions/Governor's Office of Crime Control and Prevention","Cecil Partnerships for Children, Youth and Families","21921","2009","137,150","Alternative to Suspension","Grant","1","2009 Jun 30 12:00:00 AM"
"Department of Transportation/Highway Safety Operating","CHESAPEAKE REG SAFETY COUNCIL","21244","2012","76,418","STATE & COMMUNITY HIGHWAY SAFETY","Grant","1","2012 Jun 30 12:00:00 AM"
"Maryland Department of Education/FOOD SERVICES PROGRAM","GO-GETTERS INC","21802","2013","5,186","CASH FOR COMMOD - CHILD CARE","Grant","1","2013 Jun 30 12:00:00 AM"
"Maryland Department of Education/Food Services Program","RAINBOW ADULT DAY CARE OF HOWARD COUNTY LLC","21046","2012","2,859.58","CASH FOR COMMOD - CHILD CARE","Grant","1","2012 Jun 30 12:00:00 AM"
"Department of Health & Mental Hygiene/Family Health Services & Primary Care","Kennedy Krieger Institute","21205","2010","156,415","Medical Genetics & Systems Development","Grant","1","2010 Jun 30 12:00:00 AM"
"Executive Department - Boards, Commissions and Offices/Governor's Office of Crime Control and Prevention","Court Appointed Special Advocate (CASA)  - Montgomery County Maryland Inc.","20851","2016","6,575.46","Children's Justice Act Committee","Grant","1","2016 Jun 30 12:00:00 AM"
"State Department of Education/Head Start","ANNE ARUNDEL COUNTY COMMUNITY ACTION AGENCY","21401","2016","70,610","Head Start - Migrant Education","Grant","1","2016 Jun 30 12:00:00 AM"
"Boards and Commissions/Sexual Assault Services Program","Domestic Violence Center of Howard County, Inc.","21045","2013","590,666.03","Sexual Assault Victim Advocacy","Grant","1","2013 Jun 30 12:00:00 AM"
